<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.05.19	20:00:00	3231.72	3235.80	3225.28	3230.23	19070	0	18
2025.05.20	00:00:00	3229.33	3230.48	3214.11	3222.79	15144	0	18
2025.05.20	04:00:00	3222.79	3232.67	3204.59	3217.24	43329	0	18
2025.05.20	08:00:00	3217.24	3235.93	3207.98	3235.79	38333	0	18
2025.05.20	12:00:00	3235.79	3250.57	3230.47	3242.82	31414	0	18
2025.05.20	16:00:00	3242.82	3285.72	3232.87	3278.93	79501	0	18
2025.05.20	20:00:00	3278.93	3295.56	3278.34	3290.09	29405	0	18
2025.05.21	00:00:00	3291.79	3304.06	3288.47	3303.35	21611	0	18
2025.05.21	04:00:00	3303.34	3314.57	3285.25	3302.11	45017	0	18
2025.05.21	08:00:00	3301.97	3320.73	3298.36	3308.41	37385	0	18
2025.05.21	12:00:00	3308.41	3318.21	3290.69	3302.72	39718	0	18
2025.05.21	16:00:00	3302.72	3315.15	3295.26	3303.19	60142	0	18
2025.05.21	20:00:00	3302.94	3324.79	3302.86	3315.39	39527	0	18
2025.05.22	00:00:00	3318.99	3326.19	3315.31	3323.68	18949	0	18
2025.05.22	04:00:00	3323.67	3344.76	3320.41	3339.23	45939	0	18
2025.05.22	08:00:00	3339.23	3340.19	3310.05	3311.09	43907	0	18
2025.05.22	12:00:00	3311.09	3314.65	3282.91	3304.18	56636	0	18
2025.05.22	16:00:00	3304.23	3315.70	3279.17	3301.55	77790	0	18
2025.05.22	20:00:00	3301.56	3301.75	3289.04	3294.36	34348	0	18
2025.05.23	00:00:00	3295.77	3308.84	3286.80	3300.90	20071	0	18
2025.05.23	04:00:00	3300.89	3316.25	3290.83	3313.75	37086	0	18
2025.05.23	08:00:00	3313.74	3334.37	3312.55	3326.43	36254	0	18
2025.05.23	12:00:00	3326.42	3359.61	3323.44	3356.25	58008	0	18
2025.05.23	16:00:00	3356.20	3364.51	3336.71	3358.85	73585	0	18
2025.05.23	20:00:00	3358.92	3365.85	3355.32	3355.40	27694	0	18
2025.05.26	00:00:00	3352.51	3356.17	3330.58	3341.17	24049	0	18
2025.05.26	04:00:00	3341.03	3356.44	3335.53	3349.96	32328	0	18
2025.05.26	08:00:00	3349.95	3351.73	3330.99	3334.39	22592	0	18
2025.05.26	12:00:00	3334.49	3336.14	3323.44	3334.24	17437	0	18
2025.05.26	16:00:00	3334.24	3343.51	3331.38	3341.95	20458	0	18
